Date,Comment,catagory,User
2018-10-12 10:02:33,物流超级快，箱子收到了，太满意，这箱子绝对首选啊，值得拥有的一个箱子，朋友们，可以的。轮子很顺滑，很好用，无论是外观还是功能，都是同价中优秀的，这么便宜又是品牌的箱子。赞。拉链试了试还是挺顺滑的，轮子也不错 ，颜色特别好看，颜色和我心意，漂亮不张扬，哈哈哈，喜欢,尺寸:24寸;颜色分类:复古镜面拉链-星空银,['一***y']
2018-10-09 21:33:23,超级喜欢，大小刚刚适合，正好方便小长假回家使用，而且颜色无差，非常的好看，没有有点色差，还送了贴图和保护套，根本不怕划伤，薄而轻巧反而很实用，店家太贴心了，价格还实惠，这么便宜买这么好的一个箱子，真的是赚到了。,尺寸:24寸;颜色分类:防刮铝框-耀目黑,['2***b']
2018-10-10 22:08:14,终于收到了，真的很漂亮的一款箱子 箱子非常棒， 很喜欢 轻便好拿箱子颜色非常正，正是我想要的颜色，轮子非常顺滑，非常方便， 轮子不卡 不易缠上东西 这点非常满意 不必再担心轮子被各种东西轻易卡住 出门的焦点 哈哈 很时尚的箱子 买得很值 可推荐购买~收到货就迫不及待的拆开了~非常满意的一次购物~,尺寸:24寸;颜色分类:复古镜面拉链-耀目黑,['清***钩']
2018-09-30 17:28:40,此用户没有填写评论!,尺寸:26寸;颜色分类:复古镜面拉链-耀目黑,['t***1']
2018-10-07 10:13:12,这个箱子两个人去旅行挺好的，能装两人量，女朋友就啥都不用拎了。说回箱子，轮子挺顺滑的，拖的方便，还送了贴纸小礼物，贴上以后有种网红行李箱的feel，有没有，喜欢的赶快下单噢，机不合适，失不再来。好评！,尺寸:24寸;颜色分类:防刮拉链-星空银,['廿***迷']
2018-10-09 21:41:31,箱子太好了，非常的惊艳，超过心理预期！帅帅哒的，酷酷的，轮子非常顺滑，性价比真是超高，跟便宜的相比，质量又好的太多，总之想要箱子的选这家绝对没错！更重要的是卖家的服务非常好！再次祝生意兴隆！,尺寸:29寸;颜色分类:复古镜面铝框-耀目黑,['5***燕']
2018-09-25 12:39:00,此用户没有填写评论!,尺寸:22寸;颜色分类:复古镜面拉链-墨竹绿,['今***0']
2018-10-10 11:06:45,轮子和拉杆都超级顺滑，我的体重可以稳稳的坐在上面，并且滑动很顺畅，颜色超级好看，很有大牌的感觉，非常结实。拉杆提拉很顺利，可以调节几段，不管是推着还是拉着都很适合，密码锁很安全啊质量非常好，颜色也好看，滑轮的声音也比较小，拉动很轻松呢，带着很轻便，颜色非常的靓丽呢，尺寸也正好，还送了小礼物。很满意。正好旅游用。,尺寸:20寸;颜色分类:防刮拉链-星空银,['t***5']
2018-10-08 16:46:52,此用户没有填写评论!,尺寸:24寸;颜色分类:复古镜面拉链-星空银,['欣***3']
2018-10-11 20:49:46,此用户没有填写评论!,尺寸:26寸;颜色分类:复古镜面拉链-深河蓝,['微***3']
